,age,overall,wage_eur,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_curve,power_shot_power,power_jumping,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,league_level,nationality_rank,club_contract_valid_until,work_rate
6866,27,68,5000,186,84,70,44,50,60,69,73,54,68,59,59,24,54,77,72,70,42,43,1,2,2023,4
13801,20,62,1000,166,64,78,55,58,62,43,58,54,58,62,63,58,60,79,55,46,55,42,1,1,2021,6
12471,33,63,2000,176,70,64,41,58,61,62,70,59,56,64,60,54,56,71,70,61,55,56,1,6,2022,2
13327,19,63,3000,196,84,50,35,49,49,63,68,44,66,62,47,35,48,53,58,63,37,42,1,4,2023,6
16903,21,58,900,191,79,61,28,37,45,57,67,22,56,50,41,24,52,69,54,51,31,50,1,2,2025,6
17503,21,56,1000,180,70,72,38,48,55,52,52,43,51,53,53,35,48,60,57,53,50,46,4,3,2022,6
15823,22,60,600,167,63,64,50,57,62,53,62,51,51,64,63,31,51,58,56,50,58,37,1,1,2024,6
1941,23,75,18000,191,84,68,32,53,55,78,74,37,74,69,48,30,50,68,66,75,48,52,1,4,2022,6
14661,21,61,4000,173,65,66,53,61,60,56,64,57,51,66,59,46,63,53,71,58,60,47,2,3,2022,6
4332,27,71,11000,169,72,86,60,67,74,54,63,68,56,70,74,59,64,86,83,62,68,53,1,1,2022,9
12315,30,63,3000,178,77,81,58,56,64,38,66,64,59,55,63,50,61,56,48,35,58,57,4,3,2022,9
2043,33,74,6000,192,86,38,60,69,57,71,87,56,76,74,58,65,74,68,70,72,71,68,1,5,2021,4
4290,29,71,13000,182,71,82,67,62,72,25,64,72,61,62,75,68,62,74,53,34,53,55,1,6,2024,7
9800,16,66,4000,173,68,66,53,67,69,50,48,59,38,73,67,65,49,48,54,58,70,51,1,5,2023,6
10135,25,65,3000,180,68,71,38,56,63,60,69,61,52,59,62,46,49,80,58,59,56,38,3,3,2023,8
17410,19,57,4000,178,64,69,33,46,51,52,52,55,49,48,52,37,36,64,50,51,40,40,1,3,2022,6
7618,29,67,6000,185,88,67,39,54,54,65,72,55,68,59,48,29,58,82,70,61,53,31,2,4,2023,6
12111,18,64,2000,186,67,73,50,56,65,60,64,64,53,60,67,56,60,61,60,62,48,46,1,8,2022,8
11260,28,64,2000,183,70,54,45,56,60,61,74,47,59,64,58,41,52,81,68,59,58,45,1,3,2022,4
15137,17,61,500,183,76,55,66,44,56,26,53,40,67,47,54,43,70,63,37,25,48,72,1,10,2023,6
6235,21,69,3000,176,71,82,62,61,71,49,56,59,52,61,71,51,68,46,46,46,68,69,1,1,2022,4
15144,19,61,1000,183,72,61,28,50,54,62,63,35,60,63,50,35,40,66,60,61,52,30,1,5,2022,4
16911,19,58,500,175,68,80,53,49,61,23,45,46,38,56,60,38,63,52,32,16,52,47,3,4,2023,8
12956,20,63,1000,183,69,69,31,46,57,61,64,53,59,55,59,34,26,67,54,61,39,43,2,2,2022,6
14354,22,62,1000,180,70,63,62,59,63,42,45,54,44,65,61,53,61,52,44,30,58,57,2,5,2022,6
681,35,78,22000,180,79,46,70,83,76,66,71,82,67,84,73,83,80,68,71,71,80,73,1,10,2022,5
7410,19,68,6000,195,76,71,53,61,66,66,74,45,62,69,69,52,59,68,70,65,62,40,1,9,2026,4
3070,18,73,4000,167,63,79,66,66,80,52,54,64,57,70,79,75,70,64,67,49,69,49,1,1,2023,8
6901,26,68,3000,189,78,73,45,50,56,66,76,43,66,59,50,41,64,89,83,66,39,47,1,6,2023,2
3071,20,73,23000,171,66,71,44,62,68,71,62,68,62,70,66,52,50,62,65,72,57,38,1,5,2022,6
6911,22,68,5000,168,61,79,61,66,73,62,61,59,55,74,70,62,62,83,58,65,65,56,1,10,2024,6
11679,23,64,1000,179,68,72,52,64,66,62,58,51,40,72,64,58,47,52,30,61,59,51,2,2,2024,6
16611,21,58,1000,183,70,51,33,36,37,58,60,29,56,42,32,30,50,73,57,57,35,46,3,3,2022,6
11343,27,64,3000,191,80,40,43,48,47,63,72,33,64,60,36,37,52,70,71,63,47,41,1,5,2023,2
5361,32,70,5000,185,89,50,26,45,47,70,80,28,67,68,27,22,30,74,70,71,25,39,1,1,2023,3
7224,21,68,14000,183,71,62,72,50,68,31,49,37,68,64,68,46,72,62,52,26,49,63,2,5,2022,6
15323,25,60,2000,183,75,71,53,59,58,54,65,56,42,61,55,66,62,63,50,56,59,44,4,3,2022,6
426,28,80,86000,174,71,71,75,80,84,69,68,74,55,85,86,80,80,75,70,70,83,67,1,6,2023,8
9786,25,66,2000,188,76,60,47,60,57,67,64,52,70,70,55,42,59,70,66,67,55,49,2,5,2023,3
16162,21,59,1000,173,65,69,28,49,57,54,51,53,47,58,56,32,29,62,50,52,31,34,1,9,2022,6
1097,24,77,14000,175,66,85,67,68,80,29,46,78,40,73,81,60,52,52,30,24,61,64,1,6,2026,7
12756,24,63,12000,187,80,54,33,44,46,63,71,38,65,54,42,35,42,71,68,61,38,45,3,3,2022,4
1390,24,76,27000,183,73,80,70,74,81,39,65,77,52,76,82,80,79,59,44,40,73,71,1,8,2024,8
14867,19,61,1000,184,70,65,52,58,61,57,67,49,52,63,59,54,58,54,65,57,59,42,4,3,2023,8
8319,24,67,4000,188,83,51,33,50,48,68,69,41,69,61,36,35,46,71,60,65,48,45,1,1,2021,6
12677,23,63,3000,178,75,68,57,61,63,58,66,52,47,65,61,58,58,54,55,60,63,49,4,3,2022,6
9862,32,65,6000,175,75,53,59,64,61,63,64,65,45,64,60,65,68,61,68,65,61,66,2,3,2022,3
13349,19,63,3000,185,78,67,63,46,64,19,63,31,60,58,65,40,58,64,40,14,45,60,1,5,2022,8
11946,20,64,5000,181,69,82,61,56,64,32,67,56,60,63,64,58,70,74,54,22,54,53,2,3,2022,8
11391,27,64,650,173,68,69,38,50,60,59,68,51,50,59,54,31,41,90,57,60,39,39,3,4,2022,4
14160,25,62,700,190,82,69,60,45,60,27,73,34,65,53,60,39,61,77,72,22,51,58,3,4,2022,6
3604,23,72,17000,185,81,76,52,64,70,67,74,72,68,69,72,50,67,57,72,64,56,45,1,8,2022,6
10715,22,65,7000,190,88,76,61,49,68,29,78,34,60,57,70,58,69,76,70,24,61,52,1,6,2023,6
16623,20,58,2000,175,65,70,49,53,66,34,42,45,30,58,64,52,46,74,46,28,52,41,1,9,2022,6
10755,24,65,2000,170,63,78,63,61,65,25,62,60,31,58,63,74,67,46,42,34,66,64,2,5,2022,5
8277,21,67,6000,189,82,59,25,53,53,66,72,53,67,60,50,46,35,74,65,65,46,37,2,3,2022,8
11657,23,64,550,187,78,68,41,45,53,63,70,48,63,58,48,25,58,81,64,58,31,40,3,4,2022,6
7008,22,68,3000,168,66,73,44,63,68,64,68,66,53,66,67,67,56,76,68,63,67,54,1,1,2022,6
16864,20,58,800,184,78,63,34,51,55,55,64,32,54,63,55,32,45,67,61,52,56,45,2,2,2023,6
10978,21,65,6000,182,74,65,69,52,60,35,54,50,66,62,64,46,68,68,33,32,49,61,1,5,2022,7
14250,20,62,3000,172,68,67,58,59,63,30,50,64,40,63,65,53,65,59,46,28,58,50,1,5,2023,6
1596,29,75,27000,185,72,73,77,72,76,40,68,69,67,72,76,80,83,71,61,39,73,67,1,4,2023,5
15120,21,61,2000,177,70,63,50,58,62,56,59,55,60,67,63,45,66,57,64,50,51,54,1,1,2023,6
5262,22,70,11000,184,83,68,38,59,63,70,76,59,74,66,65,49,47,70,70,67,55,37,1,2,2025,6
16447,19,59,1000,180,70,61,43,58,61,55,61,50,48,66,60,52,60,59,61,56,52,51,1,1,2024,6
13268,23,63,500,170,67,67,62,57,69,27,39,57,43,59,75,73,55,49,26,32,54,56,1,6,2021,5
17550,20,56,2000,185,73,80,54,46,57,20,54,48,48,48,55,44,52,68,31,13,51,58,3,3,2022,6
